pattern,merchant,category,category_group
SumUp  *CAFAR,Cafar Cafe,Coffee & Drinks,Food & Drink
SumUp  *EBOLUTION,Ebolution,Dining Out,Food & Drink
SumUp  *GOOD MATE,Good Mate Coffee,Coffee & Drinks,Food & Drink
SumUp  *O RECIFE,O Recife,Dining Out,Food & Drink
TACOS LOS CHOLOS,Tacos Los Cholos,Dining Out,Food & Drink
TALLER DE ESPRESSO,Taller de Espresso,Coffee & Drinks,Food & Drink
TARGET,Target,Shopping,Shopping
TELEFERICO A MONSERRAT,Teleferico Montserrat,Travel,Travel
TESLA COMMERCE,Tesla Shop,Shopping,Shopping
THE AREPA GROUP,The Arepa Group,Dining Out,Food & Drink
THE LOST BEAN,The Lost Bean,Coffee & Drinks,Food & Drink
THE MAGIC NOODLE,The Magic Noodle,Dining Out,Food & Drink
THOLONET HOTEL,Tholonet Hotel,Hotels,Travel
TIENDA DUTY PAID,Tienda Duty Paid,Shopping,Travel
TIERRA VIVA,Tierra Viva Hoteles,Hotels,Travel
TIL*OP INSTA360,Insta360,Electronics,Shopping
TLS USA,TLScontact,Visa Services,Travel
TM *GABRIEL IGLESIAS,Gabriel Iglesias Show,Entertainment,Entertainment
TM *NATALIA LAFOURCADE,Natalia Lafourcade Concert,Concerts,Entertainment
TMB BUS,TMB Barcelona Transit,Public Transit,Transportation
TMMC CENTRALIZED,Toyota Medical Center,Healthcare,Health
TMMC POLAK,Polak Imaging,Healthcare,Health
TOFU GARDENA,Tofu Gardena,Groceries,Food & Drink
TONOS CAFE,Tonos Cafe,Coffee & Drinks,Food & Drink
TORRANCE ANESTHESIA,Torrance Anesthesia,Healthcare,Health
TORRANCE MEMORIAL,Torrance Memorial Physicians,Healthcare,Health
TRADER JOE S,Trader Joe's,Groceries,Food & Drink
TRAPICHE BELLA VISTA,Trapiche Bella Vista,Dining Out,Food & Drink
TRIGO LAYETANA,Trigo Layetana,Dining Out,Food & Drink
TROPICALNEWSST,Tropical News,Shopping,Shopping
TST* BODEGON 69,Bodegon 69,Dining Out,Food & Drink
TST* CHICHEN ITZA,Chichen Itza Restaurant,Dining Out,Food & Drink
TST* CURRITO,Currito,Dining Out,Food & Drink
TST* EQUATOR COFFEES,Equator Coffees,Coffee & Drinks,Food & Drink
TST* FISHING WITH DYNA,Fishing with Dynamite,Dining Out,Food & Drink
TST* GJUSTA,Gjusta,Dining Out,Food & Drink
TST* GNARWHAL COFFEE,Gnarwhal Coffee,Coffee & Drinks,Food & Drink
TST* GRACIAS MADRE,Gracias Madre,Dining Out,Food & Drink
TST* ILLY'S COFFEE,Illy's Coffee,Coffee & Drinks,Food & Drink
TST* JIAYUAN DUMPLING,Jiayuan Dumpling House,Dining Out,Food & Drink
TST* KOMAL,Komal,Dining Out,Food & Drink
TST* LEFT BANK,Left Bank Brasserie,Dining Out,Food & Drink
TST* LODGE BREAD,Lodge Bread,Dining Out,Food & Drink
TST* MANGO MANGO,Mango Mango Dessert,Dining Out,Food & Drink
TST* THE ARTHUR J,The Arthur J,Dining Out,Food & Drink
TST*BARSHA,Barsha Restaurant,Dining Out,Food & Drink
TST*CHULITA,Chulita,Dining Out,Food & Drink
TST*COCO ICHIBANYA,Coco Ichibanya,Dining Out,Food & Drink
TST*EM 7 GRAMS,Em 7 Grams,Coffee & Drinks,Food & Drink
TST*GACHI SUSHI,Gachi Sushi & Noodle,Dining Out,Food & Drink
TST*GROUNDWORK COFFEE,Groundwork Coffee,Coffee & Drinks,Food & Drink
TST*GUELAGUETZA,Guelaguetza Restaurant,Dining Out,Food & Drink
TST*HOLBOX,Holbox,Dining Out,Food & Drink
TST*HOLY PALETA,Holy Paleta,Dining Out,Food & Drink
TST*INTELLIGENTSIA,Intelligentsia Coffee,Coffee & Drinks,Food & Drink
TST*JAME ENOTECA,Jame Enoteca,Dining Out,Food & Drink
TST*LA VECINDAD,La Vecindad,Dining Out,Food & Drink
TST*LUSCIOUS DUMPLINGS,Luscious Dumplings,Dining Out,Food & Drink
TST*MENSHO,Mensho,Dining Out,Food & Drink
TST*NIKO NIKO,Niko Niko,Dining Out,Food & Drink
TST*PACIFIC CATCH,Pacific Catch,Dining Out,Food & Drink
TST*RISE AND SHINE,Rise and Shine Mama,Dining Out,Food & Drink
TST*SAUSAL,Sausal,Dining Out,Food & Drink
TST*SHIN-SEN-GUMI 2GO,Shin-Sen-Gumi 2Go,Dining Out,Food & Drink
TST*SHIN-SEN-GUMI YAKITO,Shin-Sen-Gumi Yakitori,Dining Out,Food & Drink
TST*TACO MESITA,Taco Mesita,Dining Out,Food & Drink
TST*TACO STAND,Taco Stand,Dining Out,Food & Drink
TST*YAKAMOZ RAMEN,Yakamoz Ramen,Dining Out,Food & Drink
Tesla Diner,Tesla Diner,Dining Out,Food & Drink
U FORNU,U Fornu,Dining Out,Food & Drink
UELFRES,Uelfres,Dining Out,Food & Drink
UEP*CHAGEE,Chagee,Coffee & Drinks,Food & Drink
UEP*PRINCE DIM SUM,Prince Dim Sum House,Dining Out,Food & Drink
UEP*YIN TANG,Yin Tang,Dining Out,Food & Drink
UNIDAD EJECUTORA MC,Unidad Ejecutora Machu Picchu,Travel,Travel
UNIDO COFFEE ROASTERS,Unido Coffee Roasters,Coffee & Drinks,Food & Drink
UNIFIED VALET,Unified Valet Parking,Parking,Transportation
UNIQLO,Uniqlo,Clothing,Shopping
US BANK HOME MTG,US Bank Mortgage,Rent,Home
USH EC FOOD CARTS,Universal Studios Food,Dining Out,Food & Drink
USPS CHANGE OF ADDRESS,USPS Change of Address,Transfer,Transfer
USPS PO,USPS Post Office,Shopping,Shopping
UTC,UTC Parking,Parking,Transportation
VENMO DES:CASHOUT,Venmo Cashout,Transfer,Transfer
VENMO DES:PAYMENT,Venmo Payment,Transfer,Transfer
VIATORTRIPADVISOR,Viator TripAdvisor,Travel,Travel
VIET LAO,Viet Lao,Dining Out,Food & Drink
VOLARIS MOTO,Volaris Moto,Rideshare,Transportation
VONS,Vons,Groceries,Food & Drink
WARNER BROS,Warner Bros Hollywood,Entertainment,Entertainment
WB Studio,WB Studio Enterprises,Entertainment,Entertainment
WEIXIN,WeChat Pay,Payment,Transfer
WETZELS PRETZELS,Wetzel's Pretzels,Dining Out,Food & Drink
WF* WAYFAIR,Wayfair,Shopping,Shopping
WWW COSTCO,Costco Online,Shopping,Shopping
WWW.SWEETGREEN,Sweetgreen,Dining Out,Food & Drink
WWW.YAMIBUY,Yamibuy,Groceries,Food & Drink
Wise Inc,Wise Transfer,Transfer,Transfer
XOCHIPILLI,Xochipilli Taco Bar,Dining Out,Food & Drink
XOCODIVA,Xocodiva,Dining Out,Food & Drink
YAMAMOTO MASAKI,Yamamoto Masaki,Dining Out,Food & Drink
YAMI.COM,Yami,Groceries,Food & Drink
YASMINE H,Yasmine H,Dining Out,Food & Drink
YOGURTLAND,Yogurtland,Dining Out,Food & Drink
Yi Chen Liu,Yi Chen Liu DDS,Dental,Health
ZETTLE_*IGNACIO GUIDO,Ignacio Guido,Dining Out,Food & Drink
ZTL*CENTROMORELOS,Centro Morelos,Dining Out,Food & Drink
ZTL*THECOFFEELEGACY,The Coffee Legacy,Coffee & Drinks,Food & Drink
Zelle payment to ALEJANDRO BELTRAN,Zelle Transfer,Transfer,Transfer
Zelle payment to DINGJIA WANG,Zelle Transfer,Transfer,Transfer
Zelle payment to Ibrahim Mahamda,Zelle Transfer,Transfer,Transfer
Zelle payment to KXArchitects,Zelle Transfer,Transfer,Transfer
eBay O*,eBay,Shopping,Shopping
la source,La Source,Dining Out,Food & Drink
la torref,La Torref,Coffee & Drinks,Food & Drink
365 MARKET,365 Market,Groceries,Food & Drink
2470 SIMICASA,Simicasa,Shopping,Shopping
2THE FORUM,The Forum,Shopping,Shopping
7ELEVEN,7-Eleven,Convenience,Food & Drink
A72 THE MARKET,A72 The Market,Groceries,Food & Drink
ABM WESTLAWN,ABM Westlawn Parking,Parking,Transportation
ANDRES D C,Andres DC,Dining Out,Food & Drink
AUTOPISTAS TERRASSA MANRE,Autopistas Terrassa,Tolls,Transportation
ESCOTA,Escota Highway Toll,Tolls,Transportation
TUNELSPAN,Tunelspan Barcelona,Tolls,Transportation
APPLECARD GSBANK,Apple Card Payment,Payment,Transfer
